id_hecho,tipo_hecho,provincia_nombre,departamento_nombre,fecha_hecho,hora_hecho,cant_inculpados,cant_victimas,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,clase_arma,clase_arma_otro,en_ocasion_otro_delito,en_ocasion_otro_delito_otro,victima_sexo,victima_identidad_genero,victima_identidad_genero_otro,victima_clase,victima_clase_otro,victima_situacion_ocupacional,victima_situacion_ocupacional_otro,victima_relacion,victima_edad,inculpado_sexo,inculpado_identidad_genero,inculpado_edad,inculpado_clase,inculpado_relacion
7610,HD M,Entre Ríos,Concordia,20/1/2021,22:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,SD,30-34,SD,SD,SD,SD,SD
7611,HD M,Entre Ríos,Concordia,21/1/2021,2:50:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,Otras relaciones no familiares,40-44,M,M,60-64,C,Otras relaciones no familiares
7612,HD M,Entre Ríos,Concordia,25/1/2021,18:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,Otros vínculos familiares,30-34,M,M,30-34,C,Otros vínculos familiares
7613,HD M,Entre Ríos,Federación,31/1/2021,1:27:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,Otras relaciones no familiares,30-34,M,M,25-29,C,Otras relaciones no familiares
7614,HD M,Entre Ríos,Gualeguaychú,1/1/2021,5:30:00,1,1,Domicilio particular,,Domicilio particular,Objeto contundente,Fierro,SD,,M,M,-----------,C,-------,Desocupado,---------,Otras relaciones no familiares,30-34,M,M,30-34,SD,Otras relaciones no familiares
7615,HD M,Entre Ríos,Villaguay,27/1/2021,16:25:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Changarín,---------,No,25-29,M,M,30-34,C,No
7616,HD M,Neuquén,Confluencia,26/2/2021,21:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,SD,,M,M,-----------,C,-------,SD,---------,SD,20-24,M,M,40-44,C,SD
7617,HD F Cis Trans Travesti-Femicidio,Neuquén,Los Lagos,23/2/2021,21:40:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,F,F,-----------,C,-------,Empleado de otros sectores,---------,Ex conyuge / ex pareja,20-24,M,M,30-34,C,Ex conyuge / ex pareja
7618,HD M,Formosa,Pilagás,7/2/2021,17:00:00,1,1,Domicilio particular,,Domicilio particular,Golpes,,No,,M,M,-----------,C,-------,Changarín,---------,SD,55-59,M,M,50-54,C,SD
7619,HD M,Formosa,Pilcomayo,12/2/2021,23:30:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Changarín,---------,No,25-29,M,M,25-29,C,No
7620,HD F Cis Trans Travesti-Femicidio,Formosa,Patiño,15/2/2021,19:50:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,No,,F,F,-----------,C,-------,Empleado de otros sectores,Docente,Ex conyuge / ex pareja,40-44,M,M,55-59,Policía retirado,Ex conyuge / ex pareja
7621,HD M,Misiones,Capital,1/1/2021,5:00:00,2,1,Domicilio particular,,Domicilio particular,Arma de fuego,,SD,,M,M,-----------,C,-------,SD,---------,SD,30-34,M,M,SD,C,SD
7622,HD F Cis Trans Travesti-Femicidio,Jujuy,El Carmen,31/12/2019,17:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,F,F,-----------,C,-------,Empleado de otros sectores,---------,Conyuge/ pareja,40-44,M,M,25-29,C,Conyuge/ pareja
7623,HD M,Neuquén,Añelo,22/2/2021,23:45:00,1,1,Domicilio particular,,Domicilio particular,Golpes,,No,,M,M,-----------,C,-------,Desocupado,---------,SD,60-64,M,M,45-49,C detenido,SD
7624,HD M,Salta,Capital,20/11/2020,16:00:00,1,1,Vía pública,,Vía pública,Golpes,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,Otras relaciones no familiares,40-44,M,M,35-39,C,Otras relaciones no familiares
7625,HD M,San Juan,Ullúm,12/12/2020,6:05:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Conyuge/ pareja,40-44,F,F,30-34,C,Conyuge/ pareja
7626,HD M,San Juan,Chimbas,15/12/2020,0:00:00,1,1,Vía pública,,Vía pública,Arma de fuego,,SD,,M,M,-----------,C,-------,SD,---------,SD,25-29,M,M,35-39,C,SD
7627,HD F Cis Trans Travesti-Femicidio,San Juan,Chimbas,18/12/2020,2:00:00,1,1,Domicilio particular,,Domicilio particular,Objeto contundente,,No,Femicidio,F,F,-----------,C,-------,Jubilado/pensionado,---------,Conyuge/ pareja,60-64,M,M,SD,C,Conyuge/ pareja
7628,HD M,Jujuy,San Pedro,23/5/2020,0:05:00,2,1,Domicilio particular,,Domicilio particular,Arma blanca,,Sí robo,,M,M,-----------,SD,-------,SD,---------,No,50-54,M,M,25-29,SD,No
7629,HD F Cis Trans Travesti-Femicidio,Jujuy,San Pedro,26/1/2020,20:35:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,40-44,M,M,40-44,C,Conyuge/ pareja
7630,HD F Cis Trans Travesti-Femicidio,Jujuy,Ledesma,10/5/2020,20:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,F,F,-----------,SD,-------,SD,---------,Ex conyuge / ex pareja,25-29,M,M,20-24,SD,Ex conyuge / ex pareja
7631,HD M,Jujuy,Dr. Manuel Belgrano,10/5/2020,19:10:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,No,35-39,M,M,20-24,C,No
7632,HD M,Jujuy,Dr. Manuel Belgrano,21/2/2020,6:00:00,2,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,SD,-------,SD,---------,No,20-24,M,M,25-29,SD,No
7633,HD M,Jujuy,Dr. Manuel Belgrano,9/2/2020,6:47:00,2,1,Otro lugar,,Canchas/club,Arma blanca,,Sí robo,,M,M,-----------,C,-------,Empleado de otros sectores,---------,No,70-74,M,M,20-24,C,No
7634,HD F Cis Trans Travesti-Otro homicidio,Jujuy,Dr. Manuel Belgrano,5/2/2020,13:00:00,1,1,Domicilio particular,,Domicilio particular,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,- Menor,---------,Hijo/a,4 o menos,F,F,15-19,C,Padre/Madre
7635,HD M,Jujuy,San Pedro,16/2/2020,18:55:00,2,1,Vía pública,,Vía pública,Arma blanca,,Sí robo,,M,M,-----------,SD,-------,SD,---------,SD,25-29,M,M,25-29,SD,No
7636,HD M,Jujuy,San Pedro,9/2/2020,7:00:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,SD,-------,SD,---------,Hijo/a,25-29,F,F,45-49,C,Padre/Madre
7637,HD F Cis Trans Travesti-Femicidio,Jujuy,Yavi,1/3/2020,14:08:00,1,1,Domicilio particular,,Domicilio particular,Golpes,,No,,F,F,-----------,C,-------,Estudiante,---------,Conyuge/ pareja,20-24,M,M,25-29,C,Conyuge/ pareja
