id_hecho;tipo_hecho;provincia_nombre;departamento_nombre;fecha_hecho;hora_hecho;cant_inculpados;cant_victimas;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_clase;victima_clase_otro;victima_situacion_ocupacional;victima_situacion_ocupacional_otro;victima_relacion;victima_edad;inculpado_sexo;inculpado_identidad_genero;inculpado_edad;inculpado_clase;inculpado_relacion
25060;HD M;Buenos Aires;Merlo;19/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Changarín;---------;Otras relaciones no familiares;40-44;M;M;45-49;Civil;Otras relaciones no familiares
25061;HD M;Buenos Aires;La Matanza;19/12/2020;11:11:11;3;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;25-29;M;M;SD;Civil;Otras relaciones no familiares
25062;HD M;Buenos Aires;Zárate ;20/12/2020;11:11:11;2;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;15-19;M;M;40-44;Otra fuerza de seguridad;No
25063;HD M;Buenos Aires;General Pueyrredón;20/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Golpes;;No;;M;M;-----------;Civil;-------;SD;---------;SD;55-59;SD;SD;SD;SD;SD
25064;HD M;Buenos Aires;La Plata;20/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;SD;---------;SD;30-34;SD;SD;50-54;SD;SD
25065;HD M;Buenos Aires;Coronel Pringles;20/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;Desocupado;---------;SD;15-19;M;M;15-19;Civil;SD
25066;HD F Cis Trans Travesti-Femicidio;Buenos Aires;La Matanza;20/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;F;F;-----------;Civil;-------;SD;---------;Conyuge/ pareja;30-34;M;M;35-39;Civil;Conyuge/ pareja
25067;HD M;Buenos Aires;Quilmes;21/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Desocupado;---------;SD;40-44;SD;SD;SD;SD;SD
25068;HD M;Buenos Aires;Lomas de Zamora;21/12/2020;11:11:11;1;1;Interior de rodados;;Interior de rodados;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;SD;50-54;M;M;15-19;Civil;SD
25069;HD M;Buenos Aires;La Matanza;22/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;40-44;M;M;25-29;Policía en franco;No
25070;HD M;Buenos Aires;General San Martín;22/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;20-24;M;M;35-39;Civil;SD
25071;HD M;Buenos Aires;Presidente Perón;22/12/2020;11:11:11;2;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;SD;65-69;M;M;SD;Civil;SD
25072;HD F Cis Trans Travesti-Otro homicidio;Buenos Aires;La Plata;23/12/2020;11:11:11;2;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;F;F;-----------;Civil;-------;Empleado de otros sectores;---------;Conyuge/ pareja;45-49;M;M;55-59;Civil;SD
25073;HD M;Buenos Aires;La Matanza;23/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;SD;45-49;SD;SD;SD;SD;SD
25074;HD M;Buenos Aires;Florencio Varela;23/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;15-19;M;M;45-49;Policía en franco;No
25075;HD M;Buenos Aires;Merlo;24/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;No;20-24;M;M;25-29;Policía en servicio;No
25076;HD M;Buenos Aires;Lanús;24/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;Desocupado;---------;SD;35-39;SD;SD;SD;SD;SD
25077;HD M;Buenos Aires;La Matanza;24/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Policía en franco;-------;Empleado de otros sectores;Personal policial;No;45-49;M;M;25-29;Civil;No
25078;HD M;Buenos Aires;Moreno;25/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Golpes;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;60-64;M;M;20-24;Civil;No
25079;HD M;Buenos Aires;Tigre;25/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;30-34;M;M;15-19;Civil;No
25080;HD M;Buenos Aires;Moreno;25/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;30-34;SD;SD;SD;Civil;SD
25081;HD F Cis Trans Travesti-Femicidio;Buenos Aires;Pilar;25/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;F;F;-----------;Civil;-------;SD;---------;Conyuge/ pareja;40-44;M;M;25-29;Civil;Conyuge/ pareja
25082;HD M;Buenos Aires;General San Martín;26/12/2020;11:11:11;2;1;Interior de rodados;;Interior de rodados;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;SD;40-44;M;M;40-44;Civil;SD
25083;HD M;Buenos Aires;La Matanza;26/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma blanca;;No;;M;M;-----------;Civil;-------;Changarín;---------;Otras relaciones no familiares;40-44;SD;SD;SD;Civil;Otras relaciones no familiares
25084;HD F Cis Trans Travesti-Otro homicidio;Buenos Aires;Necochea;27/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Otra arma o mecanismo;Colisión vehicular intencional;No;;F;F;-----------;Policía en servicio;-------;Empleado de otros sectores;Personal policial;No;25-29;M;M;35-39;Civil;No
25085;HD M;Buenos Aires;General San Martín;27/12/2020;11:11:11;2;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otras relaciones no familiares;20-24;M;M;15-19;Civil;Otras relaciones no familiares
25086;HD M;Buenos Aires;La Matanza;27/12/2020;11:11:11;4;1;Vía pública;;Vía pública;Arma de fuego;;No;;M;M;-----------;Civil;-------; - Menor;---------;No;4 o menos;M;M;25-29;Civil;No
25087;HD M;Buenos Aires;Lanús;28/12/2020;11:11:11;2;2;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;15-19;M;M;35-39;Otra fuerza de seguridad;No
25088;HD M;Buenos Aires;La Matanza;31/12/2020;11:11:11;1;1;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;No;15-19;M;M;35-39;Otra fuerza de seguridad;No
25089;HD M;Buenos Aires;La Matanza;31/12/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Otros vínculos familiares;30-34;M;M;55-59;Civil;Otros vínculos familiares
25143;HD M;Buenos Aires;Tandil;7/7/2020;11:11:11;1;1;Comercio;;Comercio;SD;;Sí robo;;M;M;-----------;Civil;-------;SD;---------;SD;50-54;M;M;45-49;Civil;SD
25144;HD M;Misiones;Oberá;17/7/2021;22:30:00;1;1;Domicilio particular;;Domicilio particular;Arma de fuego;;No;;M;M;-----------;Civil;-------;SD;---------;Ex conyuge / ex pareja;55-59;F;F;55-59;Civil;Ex conyuge / ex pareja
25145;HD M;Santa Cruz;Güer Aike;11/7/2021;04:30:00;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;Si otro delito;Lesiones dolosas;M;M;-----------;Civil;-------;Trabajador cuenta propia;---------;Otras relaciones no familiares;20-24;M;M;20-24;Civil;Otras relaciones no familiares
25146;HD M;Jujuy;Tilcara;15/5/2021;19:00:00;1;1;Vía pública;;Vía pública;Golpes;;No;;M;M;-----------;Civil;-------;SD;---------;SD;35-39;M;M;40-44;Civil;SD
25147;HD M;Neuquén;Confluencia;3/7/2021;01:00:00;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;M;M;-----------;Civil;-------;Desocupado;---------;Conyuge/ pareja;25-29;F;F;20-24;Civil;Conyuge/ pareja
25148;HD M;Neuquén;Confluencia;8/7/2021;23:19:00;1;1;Domicilio particular;;Domicilio particular;Arma blanca;;No;;M;M;-----------;Civil;-------;Empleado de otros sectores;---------;No;30-34;M;M;65-69;Civil;No
25149;HD M;Neuquén;Confluencia;3/7/2021;00:04:00;1;1;Vía pública;;Vía pública;Arma de fuego;;Si otro delito;Abuso de arma de fuego;M;M;-----------;Civil;-------;SD;---------;SD;15-19;SD;SD;SD;SD;SD
25150;HD M;Neuquén;Añelo;16/7/2021;14:20:00;1;1;Vía pública;;Vía pública;Arma blanca;;No;Riña;M;M;-----------;Civil;-------;Trabajador cuenta propia;---------;No;20-24;M;M;35-39;Civil;No
25151;HD M;Neuquén;Confluencia;8/7/2021;06:30:00;1;1;Vía pública;;Vía pública;Objeto contundente;;Sí robo;;M;M;-----------;SD;-------;Desocupado;---------;SD;15-19;SD;SD;SD;SD;SD
25152;HD M;Neuquén;Confluencia;31/7/2021;22:20:00;1;1;Domicilio particular;;Domicilio particular;SD;;No;;M;M;-----------;Civil;-------;Jubilado/pensionado;---------;Padre/Madre;55-59;M;M;35-39;Civil;Hijo/a
25153;HD F Cis Trans Travesti-Femicidio;Buenos Aires;Azul;28/10/2020;11:11:11;1;1;Domicilio particular;;Domicilio particular;SD;;No;;F;F;-----------;Civil;-------;Desocupado;---------;Conyuge/ pareja;25-29;M;M;30-34;Civil;Conyuge/ pareja
25154;HD M;Entre Ríos;Concordia;3/7/2021;01:40:00;1;1;Vía pública;;Vía pública;Arma blanca;;Sí robo;;M;M;-----------;Civil;-------;Trabajador cuenta propia;Remisero;SD;45-49;SD;SD;SD;SD;SD
