id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
18593;HD Mujer Cis Trans Travesti-Femicidio;Ciudad Autónoma de Buenos Aires;21/6/2018;21:00:00;Domicilio particular;;Domicilio particular;Ahorcamiento / asfixia;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18594;HD Varón;Ciudad Autónoma de Buenos Aires;23/6/2018;05:40:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18595;HD Mujer Cis Trans Travesti-Otro homicidio;Ciudad Autónoma de Buenos Aires;29/6/2018;00:30:00;Vía pública;;Vía pública;Sin determinación;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;Sin determinar;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18599;HD Mujer Cis Trans Travesti-Femicidio;Ciudad Autónoma de Buenos Aires;8/7/2018;04:00:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;Sin Determinar;No corresponde;No corresponde;Sí
18600;HD Varón;Ciudad Autónoma de Buenos Aires;12/7/2018;02:45:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Otras relaciones no familiares;Sin Determinar;No corresponde;No corresponde;Sí
18601;HD Varón;Ciudad Autónoma de Buenos Aires;14/7/2018;10:15:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;Sin determinar;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18602;HD Varón;Ciudad Autónoma de Buenos Aires;16/7/2018;21:00:00;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18603;HD Varón;Ciudad Autónoma de Buenos Aires;19/7/2018;14:30:00;Vía pública;;Vía pública;Sin determinación;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;No corresponde;Sin Determinar;No corresponde;No corresponde;Sí
18604;HD Varón;Ciudad Autónoma de Buenos Aires;22/7/2018;04:00:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18605;HD Varón;Ciudad Autónoma de Buenos Aires;29/7/2018;06:30:00;Vía pública;;Vía pública;Sin determinación;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
